id,home_team_id,away_team_id,goals_home_team,goals_away_team,match_date,gameweek,league_id,status,created_at,updated_at,home_adj_goals,away_adj_goals,home_shot_xg,away_shot_xg,home_non_shot_xg,away_non_shot_xg,url,final_home_win_probability,final_away_win_probability,final_draw_probability
29,4,1,4,0,2017-08-27 15:00:00 UTC,3,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,4.0,0.0,3.6,0.6,1.6,1.5,http://api.football-data.org/v1/fixtures/159300,0.44,0.32,0.24
27,13,9,2,0,2017-08-27 12:30:00 UTC,3,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,2.1,0.0,1.1,0.5,2.2,1.0,http://api.football-data.org/v1/fixtures/159297,0.63,0.16,0.22
26,19,2,2,0,2017-08-26 16:30:00 UTC,3,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,1.8,0.0,2.8,0.9,3.2,0.9,http://api.football-data.org/v1/fixtures/159301,0.75,0.07,0.17
25,3,15,0,0,2017-08-26 14:00:00 UTC,3,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,0.0,0.0,0.3,1.0,0.6,1.9,http://api.football-data.org/v1/fixtures/159304,0.56,0.17,0.27
22,11,6,0,2,2017-08-26 14:00:00 UTC,3,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,0.0,2.1,0.9,0.6,1.7,0.5,http://api.football-data.org/v1/fixtures/159298,0.46,0.27,0.27
21,8,16,1,2,2017-08-26 11:30:00 UTC,3,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,0.8,2.1,0.5,1.8,0.7,2.5,http://api.football-data.org/v1/fixtures/159296,0.15,0.64,0.2
20,16,9,1,1,2017-08-21 19:00:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,1.1,1.1,1.3,0.7,3.1,0.6,http://api.football-data.org/v1/fixtures/159311,0.67,0.13,0.2
19,18,13,1,2,2017-08-20 15:00:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,1.1,2.1,0.8,0.9,1.4,0.9,http://api.football-data.org/v1/fixtures/159314,0.45,0.3,0.25
17,10,1,1,0,2017-08-19 16:30:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,1.1,0.0,0.8,1.5,1.0,3.5,http://api.football-data.org/v1/fixtures/159312,0.27,0.49,0.24
13,8,3,0,2,2017-08-19 14:00:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,0.0,1.7,0.5,2.4,1.1,1.7,http://api.football-data.org/v1/fixtures/159306,0.47,0.27,0.26
12,5,20,3,2,2017-08-19 14:00:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,2.5,2.1,2.0,1.9,2.1,1.6,http://api.football-data.org/v1/fixtures/159013,0.49,0.24,0.27
14,14,7,0,1,2017-08-19 14:00:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,0.0,1.1,1.4,0.7,1.6,0.8,http://api.football-data.org/v1/fixtures/159307,0.49,0.23,0.28
11,6,19,0,4,2017-08-19 11:30:00 UTC,2,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,0.0,3.3,0.4,3.4,0.9,1.8,http://api.football-data.org/v1/fixtures/159313,0.18,0.58,0.24
10,19,20,4,0,2017-08-13 15:00:00 UTC,1,31,FINISHED,2017-09-06 10:41:36 UTC,2017-09-06 10:48:31 UTC,3.2,0.0,2.4,0.6,2.4,1.3,http://api.football-data.org/v1/fixtures/159321,0.71,0.1,0.2
8,15,16,0,2,2017-08-12 16:30:00 UTC,1,31,FINISHED,2017-09-06 10:41:35 UTC,2017-09-06 10:48:31 UTC,0.0,2.0,0.4,2.3,0.4,2.8,http://api.football-data.org/v1/fixtures/159317,0.11,0.7,0.19
3,7,8,1,0,2017-08-12 14:00:00 UTC,1,31,FINISHED,2017-09-06 10:41:35 UTC,2017-09-06 10:48:31 UTC,1.1,0.0,1.3,0.5,1.4,1.2,http://api.football-data.org/v1/fixtures/159325,0.42,0.3,0.27
4,11,12,0,3,2017-08-12 14:00:00 UTC,1,31,FINISHED,2017-09-06 10:41:35 UTC,2017-09-06 10:48:31 UTC,0.0,2.9,1.0,0.5,1.2,0.8,http://api.football-data.org/v1/fixtures/159319,0.6,0.16,0.24
5,9,10,1,0,2017-08-12 14:00:00 UTC,1,31,FINISHED,2017-09-06 10:41:35 UTC,2017-09-06 10:48:31 UTC,1.1,0.0,0.6,0.4,1.3,1.1,http://api.football-data.org/v1/fixtures/159320,0.51,0.23,0.26
7,13,14,2,3,2017-08-12 14:00:00 UTC,1,31,FINISHED,2017-09-06 10:41:35 UTC,2017-09-06 10:48:31 UTC,2.1,2.5,1.6,0.5,1.8,1.2,http://api.football-data.org/v1/fixtures/159318,0.72,0.1,0.18
1,1,2,4,3,2017-08-11 18:45:00 UTC,1,31,FINISHED,2017-09-06 10:41:35 UTC,2017-09-06 10:48:31 UTC,4.2,3.2,2.6,1.2,2.9,1.0,http://api.football-data.org/v1/fixtures/159316,0.64,0.16,0.2
382,31,32,0,3,2017-08-19 13:30:00 UTC,1,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,0.0,3.2,0.7,1.1,0.7,1.8,http://api.football-data.org/v1/fixtures/162536,0.26,0.5,0.24
381,21,22,3,1,2017-08-18 18:30:00 UTC,1,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,3.2,1.1,3.1,2.1,2.5,2.1,http://api.football-data.org/v1/fixtures/162537,0.8,0.07,0.13
396,32,25,2,0,2017-08-26 16:30:00 UTC,2,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,2.1,0.0,2.1,0.4,1.4,0.9,http://api.football-data.org/v1/fixtures/162522,0.76,0.08,0.16
394,24,37,2,2,2017-08-26 13:30:00 UTC,2,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,2.1,2.1,3.2,1.3,2.6,1.0,http://api.football-data.org/v1/fixtures/162520,0.34,0.38,0.28
395,22,27,2,2,2017-08-26 13:30:00 UTC,2,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,2.1,2.1,2.2,0.8,1.6,0.7,http://api.football-data.org/v1/fixtures/162521,0.45,0.3,0.25
391,28,21,0,2,2017-08-26 13:30:00 UTC,2,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,0.0,2.0,0.3,1.9,0.5,3.4,http://api.football-data.org/v1/fixtures/162528,0.15,0.68,0.17
392,26,29,1,0,2017-08-26 13:30:00 UTC,2,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,1.1,0.0,2.2,0.4,1.2,0.8,http://api.football-data.org/v1/fixtures/162527,0.36,0.37,0.27
389,37,38,1,0,2017-08-20 16:00:00 UTC,1,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,1.1,0.0,1.8,1.1,2.0,1.5,http://api.football-data.org/v1/fixtures/162529,0.48,0.26,0.26
388,35,36,0,0,2017-08-20 13:30:00 UTC,1,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,0.0,0.0,0.3,1.6,0.7,2.1,http://api.football-data.org/v1/fixtures/162530,0.44,0.29,0.28
384,27,28,1,0,2017-08-19 13:30:00 UTC,1,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,1.1,0.0,0.8,0.9,1.8,0.7,http://api.football-data.org/v1/fixtures/162533,0.52,0.25,0.23
386,23,24,1,0,2017-08-19 13:30:00 UTC,1,33,FINISHED,2017-09-06 10:41:38 UTC,2017-09-06 10:48:38 UTC,1.1,0.0,0.7,0.6,1.0,2.2,http://api.football-data.org/v1/fixtures/162531,0.45,0.27,0.28
709,89,88,1,1,2017-08-19 18:00:00 UTC,3,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,1.1,1.9,0.7,1.4,0.6,http://api.football-data.org/v1/fixtures/161640,0.6,0.17,0.23
711,85,82,3,0,2017-08-19 18:00:00 UTC,3,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,3.2,0.0,3.0,1.1,0.8,2.0,http://api.football-data.org/v1/fixtures/161646,0.68,0.1,0.22
708,87,96,3,3,2017-08-19 15:00:00 UTC,3,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,3.1,2.5,0.7,0.9,0.3,0.9,http://api.football-data.org/v1/fixtures/161642,0.56,0.21,0.23
706,92,81,0,3,2017-08-13 19:00:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,0.0,2.8,0.1,1.9,0.1,3.9,http://api.football-data.org/v1/fixtures/161652,0.14,0.67,0.18
705,98,79,1,4,2017-08-13 15:00:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,4.2,0.8,1.3,1.3,1.6,http://api.football-data.org/v1/fixtures/161651,0.19,0.6,0.2
704,88,93,3,0,2017-08-13 13:00:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.9,0.0,3.1,1.0,1.8,1.1,http://api.football-data.org/v1/fixtures/161656,0.25,0.5,0.25
703,90,85,0,1,2017-08-12 18:00:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,0.0,1.1,0.5,1.1,1.3,0.7,http://api.football-data.org/v1/fixtures/161650,0.41,0.31,0.28
700,80,89,1,0,2017-08-12 18:00:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,0.0,1.9,0.8,0.9,0.8,http://api.football-data.org/v1/fixtures/161657,0.47,0.26,0.28
699,94,97,0,1,2017-08-12 15:00:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,0.0,1.1,1.2,1.6,1.3,1.1,http://api.football-data.org/v1/fixtures/161653,0.33,0.41,0.26
698,84,87,1,2,2017-08-11 18:45:00 UTC,2,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,2.0,0.6,1.3,1.1,0.9,http://api.football-data.org/v1/fixtures/161655,0.3,0.45,0.25
696,97,98,3,0,2017-08-06 19:00:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,3.1,0.0,2.3,0.7,1.4,0.6,http://api.football-data.org/v1/fixtures/161664,0.61,0.17,0.22
695,95,96,2,2,2017-08-06 15:00:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.1,2.1,1.1,1.8,0.9,1.1,http://api.football-data.org/v1/fixtures/161658,0.42,0.31,0.28
690,83,84,1,1,2017-08-05 18:00:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,1.1,1.4,2.0,0.9,1.7,http://api.football-data.org/v1/fixtures/161667,0.34,0.39,0.27
689,89,90,1,0,2017-08-05 18:00:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,0.0,1.6,0.3,1.0,0.6,http://api.football-data.org/v1/fixtures/161662,0.49,0.26,0.25
691,91,92,1,3,2017-08-05 18:00:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,2.8,0.6,1.5,0.6,1.0,http://api.football-data.org/v1/fixtures/161660,0.41,0.33,0.26
692,87,88,4,0,2017-08-05 18:00:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,3.7,0.0,1.6,0.3,0.9,0.7,http://api.football-data.org/v1/fixtures/161663,0.8,0.07,0.13
688,81,82,2,0,2017-08-05 15:15:00 UTC,1,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.8,0.0,3.0,0.3,3.3,0.3,http://api.football-data.org/v1/fixtures/161665,0.94,0.01,0.05
725,95,93,1,1,2017-08-27 15:00:00 UTC,4,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,1.1,1.1,0.8,0.6,1.3,0.7,http://api.football-data.org/v1/fixtures/161629,0.5,0.22,0.27
721,98,89,2,1,2017-08-26 18:00:00 UTC,4,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.1,1.1,1.4,1.4,1.1,0.9,http://api.football-data.org/v1/fixtures/161632,0.44,0.3,0.27
720,82,86,3,0,2017-08-26 18:00:00 UTC,4,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.7,0.0,1.1,0.5,0.7,1.3,http://api.football-data.org/v1/fixtures/161628,0.2,0.56,0.24
719,80,84,3,2,2017-08-26 18:00:00 UTC,4,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.5,2.1,2.3,1.0,1.4,0.7,http://api.football-data.org/v1/fixtures/161637,0.47,0.24,0.29
723,96,83,2,1,2017-08-26 18:00:00 UTC,4,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.1,1.1,2.2,0.6,1.2,0.7,http://api.football-data.org/v1/fixtures/161630,0.67,0.13,0.21
717,81,85,3,0,2017-08-25 18:45:00 UTC,4,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.7,0.0,2.3,0.6,1.3,0.7,http://api.football-data.org/v1/fixtures/161636,0.85,0.04,0.11
716,81,80,6,2,2017-08-20 19:00:00 UTC,3,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,5.0,1.7,3.3,0.3,3.1,0.7,http://api.football-data.org/v1/fixtures/161644,0.85,0.03,0.12
714,93,90,0,2,2017-08-20 13:00:00 UTC,3,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,0.0,2.1,0.6,1.6,1.1,0.9,http://api.football-data.org/v1/fixtures/161638,0.52,0.21,0.26
713,84,98,2,2,2017-08-19 18:00:00 UTC,3,35,FINISHED,2017-09-06 10:41:40 UTC,2017-09-06 10:48:46 UTC,2.1,2.1,1.2,1.3,0.6,1.3,http://api.football-data.org/v1/fixtures/161645,0.5,0.23,0.27
1085,50,47,0,1,2017-08-27 18:15:00 UTC,2,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,0.0,1.1,1.5,1.2,1.2,1.0,http://api.football-data.org/v1/fixtures/163207,0.31,0.42,0.27
1084,58,49,0,1,2017-08-27 16:15:00 UTC,2,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,0.0,0.8,1.2,1.1,1.5,1.1,http://api.football-data.org/v1/fixtures/163205,0.43,0.29,0.28
1082,42,46,1,5,2017-08-26 20:15:00 UTC,2,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,1.1,4.7,1.5,0.4,0.8,1.0,http://api.football-data.org/v1/fixtures/163209,0.27,0.47,0.26
1080,55,53,2,2,2017-08-26 18:15:00 UTC,2,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,2.1,1.7,2.2,0.8,2.1,1.1,http://api.football-data.org/v1/fixtures/163210,0.4,0.31,0.3
1079,40,51,0,2,2017-08-26 16:15:00 UTC,2,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,0.0,2.1,0.7,2.6,0.5,2.8,http://api.football-data.org/v1/fixtures/163204,0.19,0.61,0.21
1077,44,56,3,0,2017-08-25 18:15:00 UTC,2,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,3.2,0.0,3.2,0.2,1.8,0.3,http://api.football-data.org/v1/fixtures/163213,0.48,0.26,0.26
1076,57,58,0,1,2017-08-21 20:00:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,0.0,1.1,1.0,1.1,0.8,1.7,http://api.football-data.org/v1/fixtures/163221,0.47,0.26,0.28
1075,55,56,1,0,2017-08-21 18:15:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,1.1,0.0,1.4,0.5,1.1,0.6,http://api.football-data.org/v1/fixtures/163220,0.28,0.44,0.28
1073,51,52,2,0,2017-08-20 18:15:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,2.1,0.0,1.4,0.2,2.6,0.3,http://api.football-data.org/v1/fixtures/163215,0.86,0.04,0.1
1072,49,50,0,0,2017-08-20 16:15:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,0.0,0.0,0.9,0.4,1.2,0.7,http://api.football-data.org/v1/fixtures/163214,0.67,0.12,0.21
1070,45,46,2,2,2017-08-19 18:15:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,1.7,2.1,2.1,0.8,1.2,0.9,http://api.football-data.org/v1/fixtures/163218,0.2,0.55,0.25
